, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Bwd URG Flags,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Init_Win_bytes_backward,Active Mean, Active Std, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
58478,8080,77514,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4386.30441,90.30626725,12919.0,30510.8509,75195,40,77514,25838.0,44009.67498,76654,40,75852,37926.0,52706.32526,75195,657,0,0,0,51.60358129,38.70268597,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
58524,1853,83,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,144578.3133,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,12048.19277,12048.19277,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
58655,8080,75628,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4495.689427,92.55831174,12604.66667,29762.92166,73354,43,75628,25209.33333,42894.10601,74737,43,73970,36985.0,51433.53305,73354,616,0,0,0,52.89046385,39.66784789,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
58678,1854,95,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,126315.7895,21052.63158,95.0,0.0,95,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10526.31579,10526.31579,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
58842,8080,82746,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4108.95995,84.59623426,13791.0,32736.7976,80611,57,82746,27582.0,47215.58547,82101,57,81255,40627.5,56545.20797,80611,644,0,0,0,48.34070529,36.25552897,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
58856,1857,94,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,127659.5745,21276.59574,94.0,0.0,94,94,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,10638.29787,10638.29787,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
59143,8080,80984,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4198.36017,86.43682703,13497.33333,32102.2667,79023,49,80984,26994.66667,46232.02055,80378,49,79665,39832.5,55423.73662,79023,642,0,0,0,49.39247259,37.04435444,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
59155,1858,90,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,133333.3333,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11111.11111,11111.11111,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
59287,8080,79325,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4286.164513,88.2445635,13220.83333,31279.07095,77065,40,79325,26441.66667,45142.27347,78566,40,77724,38862.0,54027.20072,77065,659,0,0,0,50.42546486,37.81909864,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
59293,1859,36,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,333333.3333,55555.55556,36.0,0.0,36,36,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27777.77778,27777.77778,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
59492,8080,73364,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4634.425604,95.41464478,12227.33333,28822.97472,71058,96,73364,24454.66667,41687.43716,72590,96,71797,35898.5,49723.04175,71058,739,0,0,0,54.52265416,40.89199062,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
59524,1860,50,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,240000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20000.0,20000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
59652,8080,93102,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3651.908659,75.18635475,15517.0,36822.76251,90678,75,93102,31034.0,52856.25708,92065,75,91394,45697.0,63612.74025,90678,716,0,0,0,42.96363129,32.22272346,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
59657,1861,90,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,133333.3333,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11111.11111,11111.11111,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
60167,8080,74258,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4578.631259,94.26593768,12376.33333,29204.45022,71985,46,74258,24752.66667,42255.67864,73544,46,72645,36322.5,50434.39117,71985,660,0,0,0,53.8662501,40.39968758,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
60173,1991,29,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,413793.1034,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,34482.75862,34482.75862,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
60334,8080,80458,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4225.807253,87.00191404,13409.66667,31668.80874,78049,70,80458,26819.33333,45728.05049,79620,70,78739,39369.5,54701.07349,78049,690,0,0,0,49.71537945,37.28653459,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
60336,1993,4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
60630,8080,70522,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4835.370523,99.25980545,11753.66667,27628.19445,68143,55,70522,23507.33333,40128.0105,69842,55,68761,34380.5,47747.3854,68143,618,0,0,0,56.71988883,42.53991662,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
60634,51930,7,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1714285.714,285714.2857,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,142857.1429,142857.1429,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
61075,8080,124786,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,2732.678345,56.09603641,20797.66667,49885.59796,122624,51,124786,41595.33333,71379.85646,124017,92,123236,61618.0,86275.51259,122624,612,0,0,0,32.05487795,24.04115846,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
61580,8080,98306,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3468.760808,71.2062336,16384.33333,39068.29249,96129,48,98306,32768.66667,56141.23035,97594,48,96739,48369.5,67542.13263,96129,610,0,0,0,40.68927634,30.51695726,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
61588,52040,3,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,333333.3333,333333.3333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
61885,8080,66276,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5145.150582,105.6189269,11046.0,25014.61933,62096,95,66276,22092.0,36054.11992,63721,866,64533,32266.5,42185.28346,62096,2437,0,0,0,60.35367252,45.26525439,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
61888,52093,39,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,307692.3077,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25641.02564,25641.02564,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
62083,8080,59248,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5755.468539,118.147448,9874.666667,23206.99424,57241,48,59248,19749.33333,33710.5974,58674,48,57847,28923.5,40046.99255,57241,606,0,0,0,67.51282744,50.63462058,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
62084,8080,2,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,6000000.0,1000000.0,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,500000.0,500000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,237,0.0,0.0,0,0.0,0.0,0,0
62192,8080,61529,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5542.102098,113.7674918,10254.83333,24150.10996,59547,45,61529,20509.66667,34980.76479,60901,71,60143,30071.5,41684.65186,59547,596,0,0,0,65.00999529,48.75749647,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
62193,8080,1,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1000000.0,1000000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,237,0.0,0.0,0,0.0,0.0,0,0
62251,8080,63843,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5341.227699,109.6439704,10640.5,24941.20116,61546,4,63843,21281.0,36097.72412,62960,4,62125,31062.5,43110.17913,61546,579,0,0,0,62.65369735,46.99027301,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
62253,52140,28,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,428571.4286,71428.57143,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35714.28571,35714.28571,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
62680,8080,146372,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,2329.68054,47.82335419,24395.33333,58722.06621,144259,3,146372,48790.66667,83984.50226,145767,3,144858,72429.0,101582.9602,144259,599,0,0,0,27.32763097,20.49572323,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
62709,52142,67,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,179104.4776,29850.74627,67.0,0.0,67,67,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14925.37313,14925.37313,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
63090,8080,66381,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5137.012097,105.4518612,11063.5,25949.31795,64027,18,66381,22127.0,37649.70408,65599,18,64720,32360.0,44783.90088,64027,693,0,0,0,60.25820641,45.19365481,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
63091,8080,91244,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3726.272412,76.7173732,15207.33333,36103.11221,88899,75,91244,30414.66667,52095.84216,90569,75,89739,44869.5,62267.11604,88899,840,0,0,0,43.83849897,32.87887423,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,237,0.0,0.0,0,0.0,0.0,0,0
63107,1997,90,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,133333.3333,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,11111.11111,11111.11111,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
63109,52148,70,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,171428.5714,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,14285.71429,14285.71429,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
63365,8080,63341,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5383.558832,110.5129379,10556.83333,24791.335,61157,48,63341,21113.66667,35937.41978,62609,48,61764,30882.0,42815.3156,61157,607,0,0,0,63.15025023,47.36268767,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
63411,52154,8,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1500000.0,250000.0,8.0,0.0,8,8,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,125000.0,125000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
63493,8080,63096,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5404.46304,110.9420565,10516.0,24746.92297,61026,49,63096,21032.0,35873.53547,62454,49,61642,30821.0,42716.32065,61026,616,0,0,0,63.39546089,47.54659566,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
63499,52165,48,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20833.33333,20833.33333,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,256,0.0,0.0,0,0.0,0.0,0,0
63587,8080,102679,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3321.029617,68.17362849,17113.16667,40742.07682,100274,54,102679,34226.33333,58475.20155,101746,54,100887,50443.5,70470.96892,100274,613,0,0,0,38.95635914,29.21726935,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,237,0.0,0.0,0,0.0,0.0,0,0
